,marketCap
DHCA,376207488
DHF,241026016
DHHC,336720000
DHI,35655475200
DHIL,696276736
DHR,218976649216
DHT,1016989120
DHX,290102464
DHY,259285040
DIAX,651356608
DIBS,505689760
DIN,1448933888
DIOD,4844017152
DIS,289691336704
DISA,335156256
DISCA,13037768704
DISCB,9394270208
DISCK,14128718848
DISH,18937432064
DIT,90104720
DJCO,512253568
DK,1348231424
DKL,2002736000
DKNG,15387205632
DKS,12102253568
DLA,191559040
DLB,8989707264
DLCA,252281248
DLHC,201345632
DLNG,119218392
DLPN,72810968
DLR,45628518400
DLTH,538114496
DLTR,30438164480
DLX,1586760192
DLY,923915584
DM,1753351296
DMAC,73641904
DMB,268276368
DMF,184059600
DMLP,658222592
DMO,176984944
DMRC,827472000
DMS,402923872
DMTK,665879488
DMYQ,457771872
DNAY,230065520
DNB,8701519872
DNLI,6067332608
DNMR,1326681984
DNN,1497726720
DNOW,1113239680
DNP,3391905792
DNZ,350390624
DOC,3958510080
DOCN,13636333568
DOCU,51670179840
DOGZ,103105544
DOMO,2687781888
DOOO,7540300800
DOOR,2813916928
DORM,3806279680
DOV,25388005376
DOW,44655001600
DOX,9466182656
DOYU,1148411392
DPG,545794624
DPW,101291112
DPZ,20212860928
DQ,5119486976
DRD,829334080
DRE,21734129664
DRH,2075187200
DRI,19312427008
DRIO,272151232
DRNA,1645662080
DRQ,718691456
DRRX,254103472
DRTT,204961648
DRVN,5367228928
DS,226170448
DSAC,216781248
DSEY,4277317376
DSGN,1142379392
DSGX,7531086848
DSKE,675406720
DSL,1771902208
DSM,406738912
DSP,745323200
DSPG,532505056
DSS,74439864
DSU,548152512
DSWL,66843836
DSX,404584704
DT,19818907648
DTE,21953996800
DTEA,112899944
DTF,100593152
DTIL,546062848
DTOC,405619360
DTSS,41659756
DTST,548874368
DTW,4624795136
DTY,23005749248
DUK,77048627200
DUNE,90939816
DUO,84637600
DUOT,22409846
DV,5030211584
DVA,11163744256
DVAX,1979877760
DVD,131131272
DVN,29059315712
DWIN,254535456
DWSN,54682840
DX,550892096
DXC,8467795968
DXCM,62889783296
DXF,26767134
DXLG,543470080
DXPE,643815296
DXR,43001160
DXYN,87597104
DY,2569713664
DYAI,104154872
DYFN,82498976
DYN,751702656
DYNS,294065664
DYNT,23789640
DZSI,393964032
E,51341942784
EA,40630046720
EAC,337755008
EAD,543155264
EAF,3438364160
EAI,1191920640
EAR,266860032
EARN,146085328
EAST,33465432
EAT,1872126720
EB,1961544832
EBAC,162933824
EBAY,51755474944
EBC,3917249024
EBET,428065888
EBF,523371136
EBIX,1118441344
EBMT,154819040
EBON,364236608
EBR,9876414464
EBS,2146367232
EBTC,481080416
EC,29432764416
ECC,482411552
ECCB,413788064
ECCX,461131936
ECCY,463845536
ECF,195472752
ECHO,1283303168
ECL,67538317312
ECOL,1124989184
ECOM,806481344
ECOR,43689960
ECPG,1838676480
ED,27903506432
EDAP,195741600
EDD,387299712
EDF,120566760
EDI,82482640
EDIT,2456699392
EDN,455074144
EDR,7406073344
EDRY,51167716
EDSA,89872968
EDTK,17280000
EDTX,114540000
EDTXU,38107748
EDU,3928804608
EDUC,81755992
EEA,82778720
EEFT,6108372992
EEIQ,34491360
EEX,326610304
EFC,786757120
EFL,222513104
EFOI,12876504
EFR,567222400
EFSC,1503624832
EFT,595962304
EFX,34762027008
EGAN,343157760
EGBN,1914222080
EGF,53527960
EGHT,2472570112
EGLE,464460992
EGLX,461641600
EGO,1830432896
EGP,8249231360
EGRX,663821376
EGY,218821248
EH,1353576192
EHC,6297549824
EHI,229095200
EHTH,745660096
EIG,1142028928
EIGR,261068512
EIM,973526784
EIX,24350435328
EJFA,360632800
EJH,78164416
EKSO,47709348
EL,127138398208
ELA,117122008
ELAN,15318720512
ELDN,78259968
ELF,1660027776
ELLO,413557056
ELMD,107419896
ELOX,102134672
ELP,15051024384
ELS,15515006976
ELSE,17996256
ELTK,32706016
ELVT,122452992
ELY,5527233024
ELYS,90027592
EM,680935296
EMAN,171007392
EMCF,77350392
EMD,832220160
EME,7064780800
EMF,288888224
EMKR,309742112
EML,164717184
EMN,15672487936
EMO,327897920
EMP,218825584
EMR,57931014144
EMX,238952608
ENB,82039185408
ENBA,43559596032
ENBL,3436803328
ENDP,1545645568
ENFA,366415680
ENG,81154456
ENIA,12821897216
ENIC,2911909888
ENJ,213518528
ENLC,3501449984
ENLV,148231216
ENNV,428231264
ENO,214609296
ENOB,506606592
ENPC,435850880
ENPH,33333782528
ENR,2668379648
ENS,3475380224
ENSG,4441082368
ENSV,14292018
ENTA,1857949184
ENTG,20632735744
ENTX,88449696
ENV,4533946880
ENVA,1535849344
ENVB,37219124
ENVI,257973760
ENX,223942176
ENZ,164319408
EOD,252974464
EOG,53879373824
EOI,790803648
EOLS,380032736
EOS,1222131968
EOSE,568778240
EOT,344099520
EPAC,1378563072
EPAM,37385666560
EPAY,2135949952
EPC,2348019712
EPD,49920434176
EPHY,501413632
EPIX,543421312
EPM,191495360
EPR,3813193216
EPRT,3383913472
EPSN,125748632
EPWR,337409984
EPZM,433398016
EQ,159140848
EQBK,506011360
EQC,3174849024
EQD,510254976
EQH,14899617792
EQHA,268124032
EQIX,71637049344
EQNR,88016912384
EQOS,197871840
EQR,32792758272
EQS,32173080
EQT,6062290944
EQX,2510550016
ERC,382106688
ERES,425212480
ERF,2606012416
ERH,134579712
ERIC,36350234624
ERIE,11907978240
ERII,1260032640
ERJ,2961856000
ERO,1610535296
ERYP,63814568
ES,28662616064
ESBA,2970309888
ESBK,80148984
ESCA,267924304
ESE,2404096000
ESEA,190307648
ESGC,225426064
ESGR,5142799872
ESGRO,3791999488
ESGRP,4024563712
ESI,6329949696
ESLT,6806196224
ESM,374851456
ESNT,5202534400
ESP,41431316
ESPR,239632848
ESQ,285399136
ESRT,2958621952
ESS,22867134464
ESSA,185252112
ESSC,181637920
ESTA,1616569472
ESTC,16636110848
ESTE,873850944
ESXB,270638400
ET,24979501056
ETAC,750570048
ETB,457657568
ETG,1736592512
ETJ,739463872
ETN,69602009088
ETNB,331195552
ETO,518263648
ETON,116903704
ETR,21187848192
ETRN,4448241664
ETSY,36384505856
ETTX,103722632
ETV,1546573696
ETW,1190418560
ETWO,2462094848
ETX,238318688
ETY,2263617536
EUCR,131495416
EURN,2010729728
EUSG,181910592
EVA,2669068288
EVAX,116344120
EVBG,5003866624
EVBN,215007552
EVC,706733376
EVER,447293376
EVF,263930192
EVFM,58617660
EVG,242477024
EVGN,94771304
EVH,2402764544
EVI,429404736
EVK,44876420
EVLO,569988416
EVM,296432384
EVN,540663936
EVOJ,152037088
EVOK,33019440
EVOL,31544628
EVOP,1140462848
EVR,6337626624
EVRG,15069786112
EVRI,2166919936
EVT,2158910720
EVTC,3162200064
EVV,1528494464
EW,73060990976
EWBC,11890957312
EWTX,1000354816
EXAS,15098204160
EXC,53175906304
EXD,119213928
EXEL,5572021248
EXG,3188706304
EXK,934601408
EXLS,4598091264
EXN,47602424
EXP,6825559040
EXPD,21916336128
EXPE,25866082304
EXPI,6499748864
EXPO,6465063936
EXPR,269337952
EXR,26718855168
EXTN,140133216
EXTR,1571716096
EYE,3961277696
EYEN,92485480
EYES,74238208
EYPT,388010240
EZGO,40237284
EZPW,442010464
F,78455685120
FACA,405785440
FACT,419175008
FAF,8277916672
FAM,101773472
FAMI,58212032
FANG,19955075072
FANH,773202240
FARM,139326208
FARO,1402048896
FAST,35243302912
FAT,141984496
FATE,5143420416
FAX,1037103104
FB,971627167744
FBC,2553753344
FBHS,15026360320
FBIO,318525728
FBIOP,138544720
FBIZ,265294992
FBK,2213230336
FBMS,879842816
FBNC,1412635776
FBP,3110246656
FBRX,44453492
FC,703427776
FCAP,145769696
FCAX,492500032
FCBC,601728832
FCCO,161033712
FCCY,265468416
FCEL,3380005632
FCF,1516858624
FCFS,2929766912
FCN,5099016192
FCNCA,8168289280
FCO,73166600
FCPT,2173548032
FCRD,142718544
FCT,314401024
FCUV,336574048
FCX,58284126208
FDBC,272436320
FDEU,226682208
FDMT,637996160
FDP,1366868480
FDS,17495476224
FDUS,437065344
FDX,67603832832
FE,21513965568
FEDU,66326828
FEI,353687808
FEIM,88868328
FELE,4337392128
FEN,284053536
FENC,253528272
FENG,88797128
FEO,71881920
FERG,35504783360
FET,113407496
FF,385815008
FFA,427831744
FFBC,2438847232
FFBW,86446784
FFC,1004782336
FFHL,31776622
FFIC,749401152
FFIN,7694827008
FFIV,13975641088
FFNW,164382080
FFWM,1277867264
FGB,60343916
FGBI,219103120
FGEN,1113830016
FGF,19540482
FHB,3682980864
FHI,3542084864
FHN,9498071040
FHS,72365504
FHTX,498634880
FIBK,2716352768
FICO,11454850048
FIF,233284016
FIGS,5450637312
FINM,506114976
FINS,254781168
FINV,1890117888
FIS,71562461184
FISI,520058496
FISK,2919548416
FISV,68113788928
FITB,31468390400
FITBI,19713009664
FIV,348512480
FIVE,12150007808
FIVN,11014494208
FIX,3682242560
FIXX,325378784
FIZZ,5978268160
FKWL,52318612
FL,5771024896
FLAC,173977552
FLC,237592576
FLDM,370316224
FLEX,9456813056
FLGC,198772576
FLGT,2723193856
FLIC,518495552
FLL,357805504
FLME,280887520
FLMN,474148928
FLNG,1133744256
FLNT,196313120
FLO,5701593088
FLOW,3378936576
FLR,3322281472
FLS,4375977984
FLT,19858042880
FLUX,78302864
FLWS,2292286720
FLXN,457719360
FLXS,200878720
FLYW,4363216896
FMAC,511295200
FMAO,296355456
FMBH,805593856
FMBI,2368938240
FMC,13708646400
FMIV,338076224
FMN,173601680
FMNB,520234848
FMO,80309448
FMS,19659083776
FMTX,919759552
FMX,28284119040
FMY,57045644
FN,4353002496
FNB,4029041664
FNCB,179999824
FNCH,671944256
FND,14219248640
FNF,14822637568
FNGD,1128067712
FNHC,31370324
FNKO,901566272
FNLC,341092192
FNV,28178188288
FNWB,193392672
FOA,369447552
FOCS,4912340480
FOE,1766974080
FOF,392815168
FOLD,3198041344
FONR,123280320
FOR,1050779456
FORA,322501120
FORD,21285990
FORM,3328461568
FORR,1130141312
FORTY,1866975232
FOSL,859867200
FOUR,5693024768
FOX,22691176448
FOXA,23161636864
FOXF,7866628096
FOXW,71796000
FPAC,756438784
FPAY,51312724
FPF,1520055424
FPH,962104000
FPI,387790144
FPL,146088656
FR,7887138304
FRA,480567232
FRAF,142158000
FRBA,299971584
FRBK,204655376
FRC,38910955520
FRD,98545792
FREE,475313664
FREQ,214554384
FRG,1807519488
FRGI,288471744
FRHC,4185234688
FRLN,106290208
FRME,2314594816
FRO,1532132736
FROG,3367550720
FRON,226780000
FRPH,570027200
FRPT,5490301952
FRSG,281339712
FRST,390033344
FRSX,184537456
FRT,9990335488
FRTA,1587140992
FRW,248919456
FRXB,428207488
FSBC,493510560
FSBW,148775248
FSD,528325536
FSEA,58501620
FSFG,64707696
FSI,46787500
FSII,332678336
FSK,6086099456
FSLR,11944685568
FSLY,5692440064
FSM,741267968
FSNB,608185280
FSP,646114560
FSR,6351401472
FSRX,372276000
FSS,2908832768
FSSI,315998944
FST,303749984
FSTR,185089648
FSTX,123651272
FSV,8534186496
FT,207338176
FTAI,2123643776
FTCH,16042881024
FTCI,886009856
FTCV,352635808
FTDR,3329723136
FTEK,64489128
FTF,276071392
FTFT,135986656
FTHM,353602432
FTI,3170449408
FTK,70519880
FTNT,55632646144
FTS,20942282752
FTSI,369266048
FTV,26682619904
FUBO,3322020864
FUL,4195075328
FULC,588886400
FULT,2718926080
FUN,2613165824
FUNC,131840424
FUND,271670432
FURY,87591584
FUSB,71208312
FUSN,285014752
FUTU,9062862848
FUV,386456416
FVAM,108245904
FVCB,284371072
FVE,125119408
FVIV,637000000
FVRR,6550128640
FVT,281175008
FWAC,352741504
FWONA,14033808384
FWONK,13477888000
FWP,46184296
FWRD,2921365504
FXNC,111974576
FYBR,8023652352
FZT,272640512
G,9694670848
GAB,1870210432
GABC,1106026624
GAIA,185001632
GAIN,554267840
GALT,162323040
GAM,1081723648
GAMC,352187520
GAME,46038300
GAN,534353504
GANX,103682712
GAPA,216343760
GASS,104106816
GATO,799646464
GATX,3613632000
GAU,187832448
GB,1687815040
GBAB,472571328
GBCI,5711007744
GBDC,2585003264
GBIO,1138335360
GBL,754989376
GBLI,378713984
GBLIL,450421696
GBNH,113106376
GBNY,29386354
GBOX,262538528
GBR,17619456
GBS,23280824
GBT,2089673856
GBX,1382921472
GCAC,215083792
GCBC,304362720
GCI,769537856
GCMG,2267235840
GCO,1049455488
GCP,1698217600
GCV,122903744
GD,57450520576
GDDY,12369555456
GDEN,1420862848
GDL,124692040
GDO,266501056
GDOT,2365523456
GDP,286140448
GDRX,15780670464
GDS,11600094208
GDV,2478749440
GDYN,2125191040
GE,903014842368
GECC,81761520
GEF,3413306112
GEG,49924080
GEL,1526721408
GENC,186268480
GENE,46703864
GENI,2981841664
GEO,1189611392
GEOS,122521496
GER,196876496
GERN,498516384
GES,1431569792
GEVO,1363272064
GF,313849984
GFED,142513472
GFF,1425590016
GFI,9690333184
GFL,12986082304
GFX,423487488
GGAL,2851874816
GGB,7750770688
GGG,13241346048
GGMC,8396212736
GGN,615150080
GGPI,1458000000
GGT,237482528
GGZ,151802672
GH,10445799424
GHAC,252619504
GHC,2965528064
GHG,849131968
GHL,367542784
GHLD,953400000
GHM,140392832
GHSI,31388694
GHY,634729728
GIB,21523929088
GIC,1633991424
GIFI,64012164
GIG,459266240
GIGM,30283028
GIII,1580463488
GIIX,426075008
GIL,8639519744
GILD,84650876928
GILT,435665888
GIM,727060480
GIS,38763655168
GKOS,2291864832
GL,9775927296
GLAD,405458176
GLAQ,151862576
GLBE,8375625216
GLBL,428231264
GLBS,27259102
GLBZ,35136988
GLDD,1048302784
GLDG,239217616
GLG,61127760
GLHA,267598864
GLMD,74158040
GLNG,1435868672
GLO,412794592
GLOB,13062586368
GLOP,257626288
GLP,776629440
GLPG,3480317696
GLPI,11074681856
GLQ,206412384
GLRE,257307824
GLSI,450161440
GLT,784572480
GLTO,87911064
GLU,110782800
GLV,96015320
GLW,33062447104
GLYC,105912648
GM,90417356800
GMAB,26906888192
GMBL,128558912
GMBT,428231264
GMDA,201280688
GME,14822233088
GMED,7201231360
GMII,564435008
GMRE,1013743232
GMS,2473105920
GMTX,162309440
GNAC,281175008
GNCA,88184376
GNE,139456896
GNFT,160582800
GNK,591803072
GNL,1534722304
GNLN,31857160
GNOG,1086597248
GNPX,93780128
GNRC,27728939008
GNSS,183750576
GNT,115614608
GNTX,9072130048
GNTY,481358176
GNUS,418348512
GNW,2190802688
GO,2644876800
GOAC,709406272
GOCO,1384096128
GOED,247514144
GOEV,2320052224
GOF,904754752
GOGL,1581085056
GOGO,1656207104
GOL,1216320768
GOLD,36981207040
GOLF,4129056768
GOOD,844565504
GOOG,1958893977600
GOOGL,2002242109440
GOOS,5764026880
GORO,164138432
GOSS,897252608
GOVX,28987192
GP,302105888
GPAC,366749984
GPC,19918354432
GPI,3768381440
GPJA,239833024
GPK,6471033344
GPL,96000936
GPMT,717447168
GPN,38097625088
GPOR,1593816192
GPP,342550720
GPRE,1902280448
GPRK,781209600
GPRO,1809589120
GPS,9438161920
GRAY,64431052
GRBK,1367235584
GRC,1172317696
GRCL,745058304
GRCY,54073608
GRF,40661712
GRFS,10888650752
GRIL,19327100
GRIN,257542640
GRMN,28064696320
GRNQ,65523092
GROM,20197362
GROW,93592960
GROY,213517280
GRPN,759021952
GRTS,525924448
GRTX,42174344
GRUB,14600630272
GRVY,638092480
GRWG,1312221056
GRX,233967136
GS,136465399808
GSAQ,318263008
GSAT,2858240000
GSBC,796693632
GSBD,1930381056
GSEV,679937536
GSHD,5188995072
GSIT,142790384
GSK,106843897856
GSKY,2192896512
GSL,850848128
GSM,1088827776
GSMG,106730584
GSQD,427368736
GSS,428919904
GSV,188148688
GT,6494852608
GTBP,103525736
GTE,316568768
GTEC,59925808
GTES,4884383744
GTH,1132225408
GTHX,594073472
GTIM,62035472
GTLS,6970188288
GTN,2176182016
GTS,847614848
GTX,530811264
GTY,1430532096
GTYH,431214752
GURE,69517480
GUT,449031328
GVA,1923938304
GVP,32959328
GWB,1992277248
GWGH,322011424
GWRE,10220129280
GWRS,423048416
GWW,25628790784
GXII,32495572
GYRO,18236964
H,8454366208
HA,1099366912
HAAC,542418944
HAE,2983432704
HAFC,762153280
HAIN,4112963840
HAL,20819423232
HALL,72387376
HALO,5455519232
HAPP,22636600
HARP,235797552
HAS,13813303296
HASI,4886188032
HAYN,545233472
HAYW,6162090496
HBAN,24282701824
HBB,254603552
HBCP,361468800
HBI,6242176000
HBIO,312630752
HBM,1899216256
HBMD,419410976
HBNC,870633600
HBP,272302944
HBT,501092416
HCA,80332636160
HCAQ,269539328
HCAR,404064000
HCAT,2217576192
HCC,1154389120
HCCC,341343776
HCCI,830717376
HCDI,32759708
HCI,1115532288
HCIC,423896992
HCII,304375008
HCKT,659890816
HCM,4680765952
HCSG,1432324864
HCXY,1438797312
HD,412279078912
HDB,129338966016
HDSN,192629840
HE,4400745984
HEAR,448128096
HEES,1679817088
HEI,19047890944
HELE,6004944896
HEP,1833411840
HEPA,109764296
HEQ,160746640
HERA,1063318016
HES,24915791872
HESM,621703488
HEXO,242676608
HFBL,66415720
HFC,5622152704
HFFG,416864576
HFRO,806389504
HFWA,929217088
HGBL,65280676
HGEN,398814976
HGH,9378896896
HGLB,208314608
HGSH,50005500
HGV,4459943936
HHC,5094387200
HHLA,503527488
HHR,3240178432
HI,3617943296
HIBB,1552773504
HIE,196157024
HIFS,842332608
HIG,25967785984
HIGA,448630528
HIHO,16761080
HII,7686782976
HIII,730499968
HIL,126276424
HIMS,1528661888
HIMX,1744371840
HIO,499270784
HITI,356259648
HIW,4881267200
HIX,612416768
HKIB,1212843008
HL,3343160832
HLAH,317237792
HLF,4569795584
HLG,728489088
HLI,8019024896
HLIO,3499344640
HLIT,1086685312
HLNE,5948905472
HLT,39111745536
HLX,556925184
HLXA,150073344
HMC,49822773248
HMCO,380358304
HMG,17606730
HMHC,2038560000
HMLP,150124496
HMN,1676763008
HMNF,112540752
HMPT,559692352
HMST,1120496896
HMTV,371987520
HMY,2521928192
HNGR,769415872
HNI,1794960384
HNNA,78943048
HNP,6691306496
HNRG,71939608
HNST,868509888
HNW,132324704
HOFT,315588512
HOFV,213084336
HOG,5877724672
HOLI,1013237376
HOLX,18959960064
HOMB,4287375616
HON,154170605568
HONE,837572224
HOOK,115216192
HOPE,1938382720
HOTH,23888410
HOV,557024640
HOVNP,2409434112
HOWL,437326624
HP,3493068288
HPE,19020869632
HPF,462727520
HPI,561841472
HPK,1291902080
HPP,4108886272
HPQ,37707550720
HPS,610014592
HPX,311309248
HQH,1126624896
HQI,327436800
HQL,499910400
HQY,5577909760
HR,4551860224
HRB,4449232896
HRC,10338059264
HRI,5644526080
HRL,23498950656
HRMY,2328673280
HROW,289878880
HRTG,183731376
HRTX,1117064192
HRZN,362619456
HSAQ,201841504
HSBC,120679063552
HSC,1177793152
HSDT,18808058
HSIC,11352598528
HSII,930282944
HSKA,1857717120
HSON,76108488
HST,12430644224
HSTM,826678144
HSTO,20853342
HSY,36992258048
HT,425422880
HTA,7538555904
HTBI,521595072
HTBK,722435712
HTBX,124411216
HTD,870505664
HTGC,1978047872
HTGM,32066304
HTH,3052545792
HTHT,30413176832
HTLD,1377562240
HTLF,2168072704
HTOO,156183248
HTPA,372367296
HTY,71810832
HUBB,11466171392
HUBG,2962778880
HUBS,38945722368
HUDI,242812496
HUGE,55247412
HUIZ,99717888
HUM,57455095808
HUN,7398803968
HURC,222526688
HURN,1180937088
HUSA,17613928
HUSN,15054452
HUT,2003020160
HUYA,2223070208
HVBC,47492256
HVT,628511104
HWBK,170321056
HWC,4585670144
HWKN,784719488
HWM,14155218944
HX,63474908
HXL,5172120576
HY,737793856
HYAC,386953120
HYB,229248912
HYFM,1649017344
HYI,358798176
HYLN,1273459584
HYMC,54198696
HYRE,127092568
HYT,1503076352
HYW,168000000
HZN,195127744
HZNP,24202463232
HZO,1270111744
HZON,645093760
IAA,7259252224
IAC,12052269056
IACB,315301248
IACC,275698208
IAE,102185584
IAF,147540592
IAG,1599766400
IART,5829673472
IBA,2070000128
IBCP,512335168
IBEX,337607360
IBIO,152632672
IBKR,31028971520
IBM,106606231552
IBN,70594535424
IBOC,2824147456
IBP,4000752896
IBRX,2626223872
IBTX,3191933184
ICAD,224696704
ICBK,218329648
ICCC,70289208
ICCH,56006152
ICD,23269902
ICE,76659990528
ICFI,2005660544
ICHR,1375880832
ICL,11657434112
ICLK,671361920
ICLR,15034112000
ICMB,78658168
ICPT,588461504
ICUI,5227463680
ID,104121664
IDA,5386467840
IDBA,333744192
IDCC,2229416960
IDE,234944960
IDEX,826098688
IDN,113833064
IDRA,40982276
IDT,1722651520
IDXX,53562679296
IDYA,763090176
IEA,291714336
IEP,13508375552
IESC,1137583616
IEX,18020704256
IFBD,52321976
IFF,38273912832
IFMK,47111892
IFN,620151040
IFRX,210768656
IFS,2792082432
IGA,186724816
IGAC,367976800
IGC,73457496
IGD,576509760
IGI,243739392
IGIC,416353184
IGMS,1917236480
IGNY,71344624
IGR,1090466176
IGT,5922074624
IH,261290048
IHC,830054016
IHD,139417936
IHG,12515484672
IHIT,237986704
IHRT,3066284544
IHT,34232176
IHTA,87168240
IIAC,503628128
IIF,312971808
III,441782144
IIII,336065408
IIIN,833386432
IIIV,718434944
IIM,784431872
IIN,175548048
IIPR,6750685696
IIVI,6847876608
IKNA,707982528
IKNX,65387724
IKT,51264392
ILMN,54974840832
ILPT,1625344384
IMAB,5004715008
IMAC,32886652
IMAX,1145622912
IMBI,126039936
IMCC,177908192
IMCR,1699776384
IMGN,1139669376
IMH,27732508
IMKTA,1470926336
IMMP,262084896
IMMR,210947968
IMNM,198345664
IMO,26037780480
IMOS,1202679424
IMPL,240584048
IMPX,492004288
IMRA,65446256
IMRN,20561176
IMTE,42962300
IMTX,755532288
IMUX,200311968
IMV,97965088
IMVT,796505856
IMXI,611621184
INBK,440304064
INBX,1626620672
INCR,418686656
INCY,14345578496
INDB,2859328512
INDO,29242392
INDT,563419648
INFI,215855920
INFN,1775702656
INFO,55701147648
INFU,364344640
INFY,101695209472
ING,58374299648
INGN,748006400
INGR,6708925440
INKA,212175008
INM,11026253
INMB,204800608
INMD,3646085376
INN,1038393984
INNV,1226699776
INO,1512552576
INOD,207639552
INOV,6361993216
INPX,90844416
INS,408454880
INSE,348506688
INSG,709133696
INSI,238725904
INSM,3533704192
INSP,7578959872
INSW,473265952
INT,1776271104
INTC,204072861696
INTG,105538136
INTT,169642976
INTU,173486686208
INTZ,74180200
INUV,79761264
INVA,1211078912
INVE,501297568
INVH,23077810176
INVO,33854760
INVZ,759452864
INZY,230251808
IO,52151152
IONS,4595394048
IOR,53814172
IOSP,2271819008
IOVA,2921708544
IP,19449841664
IPA,114110960
IPAR,3003458304
IPDN,17369850
IPG,14067125248
IPGP,9141609472
IPHA,422359392
IPI,574135680
IPLDP,339217216
IPOD,599757248
IPOF,1523750016
IPSC,1138158720
IPVA,318101280
IPVF,320527040
IPWR,93365592
IQ,6728654336
IQI,704412224
IQV,49293291520
IR,25209124864
IRBT,2586500352
IRCP,140369104
IRDM,5579422208
IRIX,123131304
IRL,63091600
IRM,13889982464
IRMD,488560000
IROQ,77283064
IRS,500306304
IRT,2589451776
IRTC,3092931840
IRWD,2007581184
ISBC,3962111488
ISD,542716096
ISDR,94978016
ISEE,1517554304
ISIG,9734867
ISLE,257197584
ISOS,319168160
ISR,79072000
ISRG,42297126912
ISSC,119486368
ISTR,190563376
ISUN,72429528
IT,29094717440
ITCB,1151208832
ITCI,3326448128
ITGR,2891916288
ITHX,300597280
ITI,221793344
ITIC,450421728
ITMR,501609152
ITOS,1108601856
ITP,37936112
ITQ,280312512
ITRG,135781088
ITRI,3237812736
ITRM,97234200
ITRN,589640768
ITT,8939762688
ITUB,40000888832
ITW,76568461312
IVA,521587200
IVAC,118516448
IVAN,384674976
IVC,144699200
IVH,235213984
IVR,730633920
IVZ,11903590400
IX,23582281728
IZEA,151022896
J,19132489728
JACK,2254026752
JAGX,245789056
JAKK,75918264
JAMF,3666223616
JAN,13753033
JAZZ,7866415616
JBGS,3980474880
JBHT,21313841152
JBI,1827545600
JBL,9537951744
JBLU,4791920640
JBSS,1004967104
JBT,5321985024
JCE,276986304
JCI,56799666176
JCIC,421762496
JCO,226413568
JCS,36749016
JCTCF,38415652
JD,132685635584
JDD,211869088
JEF,10291322880
JELD,2625873152
JEMD,111129448
JEQ,126216896
JFIN,208266384
JFR,590819712
JFU,276774976
JG,175100800
JGH,369899712
JHAA,77628560
JHG,8110791168
JHI,163547440
JHS,181104640
JHX,17909557248
JILL,174537616
JJSF,2906321408
JKHY,11756933120
JKS,2864071424
JLL,13782139904
JLS,114934432
JMIA,1526203648
JMM,70133992
JNCE,467276640
JNJ,430113226752
JNPR,10531923968
JOAN,461431680
JOB,53333652
JOBS,3554614784
JOE,3085943552
JOF,245604624
JOFF,403236000
JOUT,1126762752
JP,35883216
JPC,1002533120
JPI,568044864
JPM,501469380608
JPS,1978800896
JPT,170342640
JQC,884848704
JRI,429238592
JRJC,15945999
JRO,406636352
JRS,347576768
JRSH,83805000
JRVR,1081645056
JSD,152695984
JSM,6921125888
JT,30713032
JTA,163846448
JTD,246088256
JUPW,16552494
JVA,26887506
JWEL,227644160
JWN,5288158720
JWSM,1270462464
JYAC,136263168
JYNT,1356886272
JZXN,46692300
K,21696405504
KAHC,1683600000
KAI,2580112896
KAII,284602496
KAIR,269100000
KALA,136395456
KALU,1677737856
KALV,419316448
KAMN,1090600832
KAR,1923814656
KARO,1071527040
KAVL,481451936
KB,18637641728
KBAL,402527392
KBH,4261025024
KBNT,42874540
KBR,6443964416
KC,5207915520
KDNY,715199296
KDP,51077103616
KE,634908608
KELYA,708104896
KELYB,742733504
KEN,2224129280
KEP,12393487360
KEQU,35612492
KERN,72636640
KEX,3487292160
KEY,23142025216
KEYS,34901614592
KF,205953744
KFFB,57998376
KFRC,1746640000
KFS,129788160
KFY,4454014976
KGC,8801158144
KHC,45806964736
KIDS,1271544064
KIII,354719040
KIM,10229633024
KINS,53627792
KINZ,343620000
KIO,339560960
KIQ,36312124
KIRK,380112032
KKR,45055877120
KL,12099760128
KLAC,63939289088
KLAQ,351470880
KLDO,196861584
KLIC,3840393728
KLR,532038016
KLXE,36560380
KMB,45421723648
KMDA,250642000
KMF,362769440
KMI,37773197312
KMPH,255710496
KMPR,3870115840
KMT,3343825920
KMX,24048457728
KN,2022432128
KNBE,4324090880
KNDI,341505856
KNOP,602225344
KNSA,880116160
KNSL,4656312320
KNTE,971020416
KNX,9900041216
KO,244299792384
KOD,5416168448
KODK,539711616
KOF,11411716096
KOP,724527104
KOPN,544514432
KOR,408968672
KOS,1462852096
KOSS,132777224
KPLT,463301024
KPTI,611253760
KR,31341201408
KRA,1478624000
KRBP,21234464
KRC,8296480768
KREF,1215679360
KRG,1857836160
KRKR,65543160
KRMD,153885584
KRNL,372743424
KRNT,7382026752
KRNY,1125758080
KRO,1656886656
KRON,924592640
KROS,1440680320
KRP,869183488
KRT,409957600
KRTX,4130316800
KRUS,626677760
KRYS,1048723264
KSI,212625008
KSM,141505264
KSPN,37316248
KSS,9052139520
KSU,28258555904
KT,6197830656
KTB,3504281856
KTCC,67893704
KTF,476380864
KTOS,2645392384
KTRA,27428392
KUKE,140441824
KULR,320440480
KURA,1140205824
KVHI,196518336
KVSA,451717856
KVSC,659985472
KW,3337656576
KWAC,145948320
KWR,4875317760
KXIN,139569744
KYMR,2766874368
KYN,1065324416
KZIA,142200240
KZR,556878720
L,14885234688
LABP,492242976
LAC,3696623104
LAD,10041805824
